City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
534,Kandrian,PG,80.74,light rain,-6.2167,149.55,Kandrian Station
538,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
544,Kualakapuas,ID,78.93,broken clouds,-3.0091,114.3876,Guest House Izonk
545,Vanimo,PG,76.84,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
546,Nicoya,CR,85.05,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
548,The Valley,AI,78.94,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
549,Bom Jesus,BR,76.55,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
550,Tyler,US,82.45,clear sky,32.3513,-95.3011,Quality Inn Tyler - Lindale
561,Dawei,MM,77.22,overcast clouds,14.0833,98.2,Hotel Dawei
565,Manado,ID,81.37,few clouds,1.487,124.8455,Aryaduta Hotel
574,San Martin,AR,79.34,clear sky,-33.081,-68.4681,Finca Vivencias
575,Makakilo City,US,80.92,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
579,Manggar,ID,80.83,broken clouds,-2.8833,108.2667,Guest Hotel
584,Samana,DO,76.96,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
591,Kendari,ID,79.56,overcast clouds,-3.945,122.4989,Hotel Wixel
594,Natal,BR,82.62,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
596,Santa Marta,CO,83.89,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
599,Tumaco,CO,77.77,overcast clouds,1.7986,-78.8156,Unión Victoria
600,Belmonte,BR,78.58,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
612,Pocone,BR,80.96,broken clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
613,Axim,GH,80.35,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
615,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
618,Port Hedland,AU,82.45,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
620,Hobyo,SO,79.39,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
621,Muli,MV,81.46,clear sky,2.9167,73.5667,Medhufushi Island Resort
624,Kpandae,GH,87.28,broken clouds,8.4689,-0.0113,S. Amaski Guest House
625,La Libertad,EC,80.26,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
626,Brokopondo,SR,76.17,overcast clouds,4.75,-55.1667,Matu Island
627,Batangafo,CF,76.62,broken clouds,7.3008,18.2833,OCHA Office
629,Poso,ID,81.97,broken clouds,-1.3959,120.7524,Hotel 77 Poso
632,Samarai,PG,83.77,overcast clouds,-10.6167,150.6667,Nuli Sapi
636,Muisne,EC,78.78,broken clouds,0.6,-80.0333,Quinta Samay
637,Karratha,AU,82.36,broken clouds,-20.7377,116.8463,ibis Styles Karratha
643,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
647,Kailua,US,82.38,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
649,Camajuani,CU,75.34,clear sky,22.4833,-79.75,Hostal Villuendas 75
651,Panama City,PA,84.15,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
